NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
William Hughes,440-65-6889,Tsonga,Medical illustrator,1.64,78.72,53.94,SLOWER THAN PEERS,70.37,SAINT LOUIS UNIVERSITY
Cassandra Holt,083-69-4370,Kazakh,Learning disability nurse,1.52,93.14,84.73,STOPS WHEN WALKING AT PACE,304.43,BJC
Dr. Christopher Henderson,188-82-1708,Sardinian,Automotive engineer,1.65,95.29,29.79,WALKING UPHILL,108.42,MISSOURI BAPTIST
Amanda Cox,435-54-6501,Oriya,Economist,1.73,80.37,95.08,UNABLE TO LEAVE HOME,128.47,BJC
Morgan Kirk,002-73-5187,Maltese,Musician,1.66,84.68,53.78,STOPS AFTER 100 YARDS,23.43,SAINT LOUIS UNIVERSITY
Scott Jones,205-46-1277,Gaelic,Multimedia specialist,1.68,94.75,47.82,BREATHLESS WHEN DRESSING,29.31,ST.LUKE'S
Chelsea Bailey,644-69-1326,Cree,Biochemist clinical,1.66,117.47,47.37,WALKING UPHILL,274.59,ST.MARY'S
Andrew Vasquez,678-75-5389,Western Frisian,Podiatrist,1.68,80.02,67.72,SLOWER THAN PEERS,165.56,BJC WEST COUNTY
Michelle Lyons,412-37-0497,Ndonga,Interpreter,1.58,116.72,86.36,ONLY STRENUOUS EXERCISE,132.27,SAINT LOUIS UNIVERSITY
Shelley Williams,008-71-6137,Catalan,Restaurant manager fast food,1.68,85.53,75.43,ONLY STRENUOUS EXERCISE,191.64,MISSOURI BAPTIST
Elizabeth Jimenez,193-07-4656,Turkish,Forensic scientist,1.74,105.81,77.24,SLOWER THAN PEERS,354.56,BJC WEST COUNTY
Julia Sanders,303-81-8432,Sindhi,Secondary school teacher,1.74,113.93,84.48,STOPS WHEN WALKING AT PACE,232.02,SAINT LOUIS UNIVERSITY
Kimberly Cox,887-18-2056,Samoan,Paediatric nurse,1.52,96.39,57.51,STOPS AFTER 100 YARDS,373.34,BJC
Bryan Pearson,136-08-7851,Oriya,English as a second language teacher,1.62,89.14,93.15,ONLY STRENUOUS EXERCISE,373.41,ST.MARY'S
Taylor Stewart,029-35-0035,Amharic,Banker,1.79,106.62,41.77,BREATHLESS WHEN DRESSING,357.07,ST.MARY'S
Catherine Lindsey,889-53-1293,Greek,Waste management officer,1.52,100.12,84.65,WALKING UPHILL,343.18,SAINT LOUIS UNIVERSITY
Justin Daniels,251-72-9385,Tigrinya,Teacher special educational needs,1.6,109.27,67.11,SLOWER THAN PEERS,229.74,MISSOURI BAPTIST
Chad Perez,494-25-5717,Javanese,Licensed conveyancer,1.69,106.63,64.71,UNABLE TO LEAVE HOME,109.33,BJC
Amy Harper,112-40-4582,Tigrinya,Hospital pharmacist,1.75,95.85,65.99,ONLY STRENUOUS EXERCISE,338.25,MISSOURI BAPTIST
Monica Williamson,121-61-4241,Marshallese,Research officer political party,1.73,98.05,49.99,WHEN HURRYING,58.58,BJC WEST COUNTY
Todd Austin,648-20-9647,Western Frisian,Chief Strategy Officer,1.61,86.28,48.44,STOPS AFTER 100 YARDS,149.7,MISSOURI BAPTIST
James Smith,887-59-3360,Tahitian,Engineer control and instrumentation,1.7,93.84,64.45,STOPS WHEN WALKING AT PACE,104.62,SAINT LOUIS UNIVERSITY
Robert Lowe,478-08-0500,Luba-Katanga,Magazine features editor,1.53,105.02,49.21,ONLY STRENUOUS EXERCISE,80.04,BJC
Amy Vasquez,070-77-7736,Urdu,Public house manager,1.51,112.88,65.27,ONLY STRENUOUS EXERCISE,149.59,MISSOURI BAPTIST
Stephen Hess,210-72-7134,Interlingua,Editor magazine features,1.7,110.9,65.93,STOPS AFTER 100 YARDS,243.01,ST.LUKE'S
John Brown,287-37-3763,Inupiaq,Engineer drilling,1.65,101.52,40.66,WHEN HURRYING,378.44,ST.MARY'S
Robert Williams,448-35-3509,Zhuang,Doctor hospital,1.72,109.97,53.62,ONLY STRENUOUS EXERCISE,347.6,BJC
Daniel Hamilton,572-31-4654,Tagalog,Herbalist,1.68,106.35,41.63,STOPS WHEN WALKING AT PACE,331.19,BJC WEST COUNTY
Jennifer Diaz,613-68-6751,Czech,Textile designer,1.57,115.71,45.15,BREATHLESS WHEN DRESSING,317.73,BJC WEST COUNTY
Karen Taylor,519-02-2356,Wolof,Health physicist,1.7,81.81,89.56,BREATHLESS WHEN DRESSING,244.99,ST.LUKE'S
Amy Mitchell,117-76-3529,Georgian,Copywriter advertising,1.54,83.63,84.86,UNABLE TO LEAVE HOME,201.13,BJC
Jacqueline Castillo,800-06-2249,Belarusian,Biomedical engineer,1.63,90.16,40.39,ONLY STRENUOUS EXERCISE,374.41,BJC WEST COUNTY
Samuel Santana,182-10-6691,Sundanese,Public house manager,1.8,111.6,53.6,WALKING UPHILL,41.67,MISSOURI BAPTIST
Kevin Hartman,166-96-4935,Nepali,Newspaper journalist,1.56,78.36,74.43,STOPS WHEN WALKING AT PACE,334.49,ST.LUKE'S
Mr. Jeffrey Gomez,848-93-7634,Inupiaq,Animator,1.63,112.49,57.36,UNABLE TO LEAVE HOME,200.39,MISSOURI BAPTIST
Antonio Greene,118-69-8708,Abkhazian,Diplomatic Services operational officer,1.71,110.5,57.94,WHEN HURRYING,363.09,ST.MARY'S
Lindsey Lewis,285-11-5067,Manx,Lobbyist,1.63,96.91,38.13,WHEN HURRYING,235.42,BJC
Jennifer Perez,167-45-1606,Bosnian,Dancer,1.74,84.05,31.49,WHEN HURRYING,339.8,BJC
Tara Johns,387-10-7237,Sinhala,Geneticist molecular,1.59,113.8,25.28,SLOWER THAN PEERS,309.73,SAINT LOUIS UNIVERSITY
Matthew Roberts,278-14-4303,Kongo,Chartered legal executive (England and Wales),1.6,107.85,54.68,ONLY STRENUOUS EXERCISE,76.5,ST.MARY'S
Theresa Miller,752-94-4189,Polish,Doctor hospital,1.59,114.98,42.63,SLOWER THAN PEERS,329.56,ST.MARY'S
Michael Salinas,770-09-0572,Aymara,Restaurant manager fast food,1.52,106.15,42.92,BREATHLESS WHEN DRESSING,40.65,MISSOURI BAPTIST
Leslie Hudson,066-31-6242,Tamil,Scientist forensic,1.7,91.06,96.18,STOPS AFTER 100 YARDS,373.33,ST.LUKE'S
Daniel Gilmore,823-42-1027,English,Oceanographer,1.68,91.85,84.72,WHEN HURRYING,257.3,MISSOURI BAPTIST
George Perez,733-49-4409,Bambara,Waste management officer,1.62,108.34,53.37,STOPS AFTER 100 YARDS,185.28,BJC
Kristine Kelly,162-27-6016,Aragonese,Interpreter,1.52,88.79,82.08,SLOWER THAN PEERS,249.69,BJC WEST COUNTY
Grant Clements,505-80-9210,Tajik,Forensic psychologist,1.58,83.38,45.28,SLOWER THAN PEERS,9.59,ST.MARY'S
April Johnston,509-99-2819,Tsonga,Physiological scientist,1.78,102.49,42.48,WALKING UPHILL,367.08,ST.LUKE'S
Jason Robinson,316-47-5717,Aragonese,Mental health nurse,1.61,88.28,49.83,UNABLE TO LEAVE HOME,198.74,MISSOURI BAPTIST
Dustin Brandt,391-60-4800,Twi,Technical sales engineer,1.74,88.94,72.37,STOPS AFTER A FEW MINUTES,88.77,BJC WEST COUNTY
Jack Dunn,793-04-2950,Tsonga,Civil engineer contracting,1.58,99.29,98.25,STOPS WHEN WALKING AT PACE,173.99,SAINT LOUIS UNIVERSITY
Patricia Watson,681-89-9717,Mongolian,Licensed conveyancer,1.78,79.17,74.81,WALKING UPHILL,100.74,BJC
Shirley Williams,297-54-7753,Central Khmer,Occupational hygienist,1.55,85.01,25.26,STOPS WHEN WALKING AT PACE,17.0,BJC WEST COUNTY
Garrett Rivera,872-04-8535,Ossetian,Clinical molecular geneticist,1.72,109.07,73.54,SLOWER THAN PEERS,395.85,ST.MARY'S
Shirley Jones,700-50-1843,Mongolian,Psychotherapist,1.71,81.79,56.94,BREATHLESS WHEN DRESSING,341.31,MISSOURI BAPTIST
Thomas Curtis,229-62-1587,Gaelic,Public librarian,1.57,110.53,78.02,STOPS WHEN WALKING AT PACE,131.25,MISSOURI BAPTIST
Antonio Hanson,843-96-0995,Hebrew,Camera operator,1.62,90.36,96.6,WALKING UPHILL,145.07,ST.LUKE'S
Pamela Roberts,226-07-3458,Sardinian,Development worker community,1.51,98.51,64.43,UNABLE TO LEAVE HOME,288.0,SAINT LOUIS UNIVERSITY
Andrea Kim,015-59-5389,Igbo,Phytotherapist,1.54,98.69,39.44,ONLY STRENUOUS EXERCISE,86.36,SAINT LOUIS UNIVERSITY
Michael West,599-49-6812,Belarusian,Animal nutritionist,1.67,105.81,96.77,SLOWER THAN PEERS,278.77,ST.LUKE'S
Diana Perez,736-57-1317,Armenian,Adult nurse,1.75,87.09,61.32,STOPS AFTER 100 YARDS,270.37,BJC WEST COUNTY
Steve Jones,649-44-2298,Haitian,Associate Professor,1.61,105.91,41.99,ONLY STRENUOUS EXERCISE,218.47,ST.LUKE'S
Kerry Ali,718-27-6950,Navajo,Health physicist,1.74,81.98,81.45,WHEN HURRYING,239.86,SAINT LOUIS UNIVERSITY
Megan Jenkins,319-60-8018,Marathi,Radiographer therapeutic,1.59,101.62,32.96,SLOWER THAN PEERS,9.86,BJC
Michael Kennedy,716-48-7369,South Ndebele,Marketing executive,1.68,82.77,48.78,BREATHLESS WHEN DRESSING,52.13,ST.LUKE'S
Vicki Riley,874-67-9587,Kirghiz,Technical brewer,1.65,110.07,48.12,WHEN HURRYING,90.98,SAINT LOUIS UNIVERSITY
Eric Parks,322-13-5221,Lao,Environmental consultant,1.68,78.28,49.8,STOPS WHEN WALKING AT PACE,352.59,BJC
James Avery,711-68-1209,Catalan,Arts administrator,1.65,88.43,43.58,ONLY STRENUOUS EXERCISE,144.73,BJC
Patrick Berry,762-49-3969,Komi,Medical secretary,1.75,98.78,87.34,STOPS WHEN WALKING AT PACE,201.77,MISSOURI BAPTIST
Connie Campbell,499-62-1869,Tajik,Armed forces operational officer,1.73,81.27,61.8,BREATHLESS WHEN DRESSING,313.89,BJC WEST COUNTY
Terri Kelly MD,126-28-7891,Avestan,Magazine features editor,1.59,108.81,97.96,STOPS AFTER A FEW MINUTES,348.68,MISSOURI BAPTIST
Cristian Cruz,852-96-9407,Irish,Energy manager,1.71,88.55,36.44,SLOWER THAN PEERS,8.41,BJC
David King,025-92-2355,Burmese,Conservator museum/gallery,1.52,106.12,55.36,STOPS WHEN WALKING AT PACE,264.61,MISSOURI BAPTIST
Sarah Hogan,806-05-2926,Fijian,Biomedical scientist,1.54,88.25,44.69,WALKING UPHILL,265.99,SAINT LOUIS UNIVERSITY
Cassandra Stone,314-12-7666,Yoruba,Advertising art director,1.78,81.16,77.1,BREATHLESS WHEN DRESSING,125.0,ST.LUKE'S
Andrea Perkins,540-16-0281,Malayalam,Air cabin crew,1.57,94.34,25.94,BREATHLESS WHEN DRESSING,238.52,ST.MARY'S
Daniel Abbott,829-34-1006,Aymara,Commissioning editor,1.63,88.44,32.39,STOPS AFTER 100 YARDS,227.77,BJC
Steve Black,149-81-7779,Bislama,Commercial/residential surveyor,1.56,83.14,85.34,STOPS AFTER 100 YARDS,368.29,SAINT LOUIS UNIVERSITY
David Hanson,258-07-6420,Thai,Engineer broadcasting (operations),1.55,107.19,48.78,STOPS WHEN WALKING AT PACE,162.73,SAINT LOUIS UNIVERSITY
Denise Buchanan,288-80-1881,Malay,Minerals surveyor,1.61,105.99,96.94,UNABLE TO LEAVE HOME,58.81,MISSOURI BAPTIST
Jennifer Adams,846-89-8841,Czech,Advertising account planner,1.56,79.4,74.23,WHEN HURRYING,329.73,MISSOURI BAPTIST
Carrie Jackson,592-95-3784,Wolof,Scientist forensic,1.78,102.56,58.55,STOPS AFTER A FEW MINUTES,395.55,BJC WEST COUNTY
Zachary Hines,695-14-2569,Haitian,Civil Service administrator,1.69,83.83,45.91,STOPS WHEN WALKING AT PACE,29.25,ST.MARY'S
